zone_level,support_touches,resistance_touches,total_touches,strength
148.525,974,1034,2008,974
149.961,1002,974,1976,974
149.959,1002,974,1976,974
149.703,1064,973,2037,973
149.705,1064,973,2037,973
149.752,1055,973,2028,973
149.14,1037,973,2010,973
149.143,1037,973,2010,973
149.141,1037,973,2010,973
149.144,1037,973,2010,973
148.524,973,1036,2009,973
149.546,1029,973,2002,973
149.544,1028,973,2001,973
146.884,1082,972,2054,972
146.883,1082,972,2054,972
149.701,1065,972,2037,972
149.699,1060,972,2032,972
148.508,972,1052,2024,972
149.551,1033,972,2005,972
149.969,1000,972,1972,972
149.651,1044,971,2015,971
149.565,1031,971,2002,971
149.691,1058,970,2028,970
149.736,1053,970,2023,970
149.669,1053,970,2023,970
149.663,1052,970,2022,970
149.66,1051,970,2021,970
149.125,1035,970,2005,970
149.554,1035,970,2005,970
149.575,1030,970,2000,970
149.579,1028,970,1998,970
149.971,999,970,1969,970
149.683,1056,969,2025,969
149.72,1055,969,2024,969
149.741,1054,969,2023,969
149.747,1050,969,2019,969
149.654,1048,969,2017,969
149.136,1037,969,2006,969
149.095,1021,969,1990,969
149.094,1020,969,1989,969
149.973,999,969,1968,969
149.974,995,969,1964,969
149.988,989,969,1958,969
149.989,989,969,1958,969
149.67,1053,968,2021,968
149.745,1051,968,2019,968
149.644,1044,968,2012,968
148.542,968,1033,2001,968
148.543,968,1032,2000,968
149.111,1028,968,1996,968
149.097,1019,968,1987,968
149.981,991,968,1959,968
149.991,986,968,1954,968
149.645,1044,967,2011,967
149.639,1043,967,2010,967
149.116,1026,967,1993,967
149.107,1025,967,1992,967
149.1,1024,967,1991,967
149.098,1020,967,1987,967
149.992,986,967,1953,967
149.995,985,967,1952,967
149.674,1057,966,2023,966
149.64,1043,966,2009,966
149.627,1036,966,2002,966
149.584,1028,966,1994,966
150,986,966,1952,966
149.636,1039,965,2004,965
149.63,1036,965,2001,965
149.615,1033,965,1998,965
149.603,1032,965,1997,965
149.601,1029,965,1994,965
146.87,1081,964,2045,964
148.548,963,1030,1993,963
149.089,1017,963,1980,963
149.087,1016,963,1979,963
149.082,1011,963,1974,963
149.61,1028,962,1990,962
149.086,1014,962,1976,962
146.864,1081,961,2042,961
148.569,961,1021,1982,961
149.081,1012,961,1973,961
150.017,982,960,1942,960
150.019,982,960,1942,960
150.031,981,960,1941,960
148.875,960,960,1920,960
146.862,1078,959,2037,959
148.558,959,1027,1986,959
148.57,959,1023,1982,959
149.078,1013,959,1972,959
150.015,982,959,1941,959
148.553,958,1030,1988,958
148.565,958,1019,1977,958
149.077,1012,958,1970,958
148.562,957,1022,1979,957
150.038,979,957,1936,957
150.047,974,957,1931,957
148.891,972,957,1929,957
148.881,967,957,1924,957
148.882,966,957,1923,957
148.887,968,956,1924,956
148.872,959,956,1915,956
148.892,973,955,1928,955
148.893,972,955,1927,955
150.058,966,955,1921,955
148.861,955,958,1913,955
146.851,1073,954,2027,954
146.852,1073,954,2027,954
146.849,1068,954,2022,954
148.845,954,965,1919,954
148.846,954,965,1919,954
148.86,954,960,1914,954
146.848,1068,953,2021,953
148.841,953,968,1921,953
148.847,953,966,1919,953
148.854,953,961,1914,953
