Open,High,Low,Close,Volume ,DATE,Time,is_swing_low,is_swing_high,datetime,ts,support,resistance
148.78,148.782,148.262,148.369,26952.25,2025-03-06,09:00:00,false,false,2025-03-06T09:00:00.000000,1741251600000,147.016,147.568
148.37,148.412,148.066,148.155,26138.42,2025-03-06,10:00:00,false,false,2025-03-06T10:00:00.000000,1741255200000,146.619,147.568
148.154,148.154,147.782,147.882,26322.84,2025-03-06,11:00:00,false,false,2025-03-06T11:00:00.000000,1741258800000,146.309,147.568
147.882,148.071,147.698,147.863,20082.68,2025-03-06,12:00:00,false,false,2025-03-06T12:00:00.000000,1741262400000,146.309,147.568
147.864,147.985,147.761,147.829,16851.9,2025-03-06,13:00:00,false,false,2025-03-06T13:00:00.000000,1741266000000,146.309,147.568
147.828,147.877,147.561,147.608,18400.47,2025-03-06,14:00:00,false,false,2025-03-06T14:00:00.000000,1741269600000,146.309,147.568
147.611,147.679,147.349,147.417,27769.78,2025-03-06,15:00:00,false,false,2025-03-06T15:00:00.000000,1741273200000,146.309,147.568
147.418,147.847,147.308,147.564,30273.76,2025-03-06,16:00:00,true,false,2025-03-06T16:00:00.000000,1741276800000,146.309,147.568
147.562,148.312,147.488,148.238,39216.63,2025-03-06,17:00:00,true,false,2025-03-06T17:00:00.000000,1741280400000,146.309,147.568
148.242,148.391,147.9,147.908,31709.98,2025-03-06,18:00:00,false,false,2025-03-06T18:00:00.000000,1741284000000,146.619,147.568
147.909,148.025,147.649,147.914,25771.05,2025-03-06,19:00:00,false,false,2025-03-06T19:00:00.000000,1741287600000,146.309,147.568
147.912,147.959,147.741,147.799,23353.57,2025-03-06,20:00:00,false,false,2025-03-06T20:00:00.000000,1741291200000,146.309,147.568
147.798,147.853,147.567,147.688,26248.77,2025-03-06,21:00:00,false,false,2025-03-06T21:00:00.000000,1741294800000,146.309,147.568
147.688,147.875,147.661,147.807,19677.42,2025-03-06,22:00:00,false,false,2025-03-06T22:00:00.000000,1741298400000,146.309,147.568
147.806,148.056,147.803,147.969,5888.08,2025-03-06,23:00:00,false,false,2025-03-06T23:00:00.000000,1741302000000,146.619,147.568
147.94,147.996,147.645,147.945,560.76,2025-03-07,00:00:00,false,false,2025-03-07T00:00:00.000000,1741305600000,146.309,147.568
147.942,148.149,147.88,148.145,6671.16,2025-03-07,01:00:00,false,false,2025-03-07T01:00:00.000000,1741309200000,146.619,147.568
148.146,148.162,147.657,147.956,14942.3,2025-03-07,02:00:00,false,false,2025-03-07T02:00:00.000000,1741312800000,146.309,147.568
147.955,148.12,147.811,147.899,15194.44,2025-03-07,03:00:00,false,false,2025-03-07T03:00:00.000000,1741316400000,146.619,147.568
147.898,148.033,147.55,147.594,10356.74,2025-03-07,04:00:00,false,false,2025-03-07T04:00:00.000000,1741320000000,146.309,147.568
